"id","pop","stationName","latitude","longitude","departement","marque","Gazole","E10","SP98"
"39110007","R","13 AVENUE ARISTIDE BRIAND - Salins-les-Bains",46.949,46.949,"39","Total Access","1.923","1.916","2.004"
"30100012","R","198 Avenue des Frères Lumière - Alès",44.14,44.14,"30","Intermarche","1.909","1.849","1.932"
"77170006","R","12 Rue Gustave Eiffel - BRIE-COMTE-ROBERT",48.703,48.703,"77","Systeme U","1.965","1.916","1.976"
"61000001","R","38 Route de Fresnay - SAINT-GERMAIN-DU-CORBéIS",48.418,48.418,"61","Carrefour Market","1.929",NA,"1.955"
"18100008","R","Avenue de Lattre de Tassigny - Vierzon",47.205,47.205,"18","Intermarche","1.925","1.879",NA
"10120001","R","184 Route Nationale 77 - Chevillele - Saint-Germain",48.241,48.241,"10","Total",NA,NA,NA
"44350006","R","Route de la Baule - GUéRANDE",47.304,47.304,"44","Intermarche","1.899","1.869","1.914"
"60800005","R","rue Henri LAROCHE - Crépy-en-Valois",49.224659428094,49.224659428094,"60","Intermarche","1.929","1.889","1.989"
"62450004","R","LIEU DIT LA FABRIQUE A SUCRE - BAPAUME",50.104,50.104,"62","Leclerc","1.91","1.918",NA
"85110005","R","42 Avenue Monseigneur Batiot - CHANTONNAY",46.693,46.693,"85","Total","1.997","2.011","2.072"
"57150006","R","Z. A. - Creutzwald",49.188,49.188,"57","Leclerc","1.928","1.824","1.91"
"83660002","R","Chemin du Plan - CARNOULES",43.299,43.299,"83","Intermarche","1.979","1.919","1.989"
"16260001","R","Route d'Angoulême - Chasseneuil-sur-Bonnieure",45.815,45.815,"16","Total","2","1.99","2.1"
"33700023","A","Rocade Périphérique exterieur aire du truc - MERIGNAC",44.849709502131,44.849709502131,"33","Total Access","1.914","1.881","1.966"
"11700005","R","4 Avenue du Minervois - LA REDORTE",43.252,43.252,"11","Intermarche","1.979","1.979","1.989"
"3260001","R","8 RUE PIERRE SEMARD - Saint-Germain-des-Fossés",46.205,46.205,"03","Intermarche","1.929","1.899",NA
"36500001","R","route de chateauroux - BUZANçAIS",46.88831,46.88831,"36","Carrefour Market","1.949",NA,"1.939"
"95240003","R","27, 29, 31, Boulevard Clemenceau - CORMEILLES-EN-PARISIS",48.971,48.971,"95","Total","2.084","2.045","2.155"
"22220001","R","BL JEAN GUEHENNO - TREGUIER",48.778,48.778,"22","Systeme U","1.899",NA,"1.927"
"76950003","R","800 ROUTE DE DIEPPE - LES GRANDES VENTES",49.79,49.79,"76","ESSO",NA,NA,NA
"63240001","R","5 Boulevard Mirabeau - MONT-DORE",45.576,45.576,"63","Total","02.04","1.98","02.04"
"39600002","R","ROUTE DE DOLE - Arbois",46.915,46.915,"39","Systeme U","1.919","1.919","1.969"
